Drug:0 CCC[N+]#[C-]
Drug:1946 CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N
Drug:1947 C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O
Drug:1948 CN(C)CCO[P@](O)(=O)OP(O)(O)=O
Drug:1949 IC1=CC=CC=C1
Drug:1950 NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Drug:1951 CNC(=S)NCCSCC1=C(C)NC=N1
Drug:1952 [H][C@@]12CC[C@](O)(C(=O)COC(=O)CN(CC)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Drug:1953 CC(C)(C)NCC(O)COC1=CC(Cl)=CC=C1Cl
Drug:1954 CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C
Drug:1955 C[C@@H]1O[C@@H]1P(O)(O)=O
Drug:1956 C1=CC(=CC=C1CN=C=S)O
Drug:1957 [H][C@@](CC1=CC=C(OS(=O)(=O)C2=CC=CC3=C2C=CC=C3N(C)C)C=C1)(NS(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C)C(O)=O
Drug:1958 CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O
Drug:1959 CSCC[C@@H](N)C(O)=O
Drug:1960 [H][C@@](C)(SC1=NC(N)=CC(Cl)=N1)C1=NC=C2OC=CC2=C1
Drug:1961 C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C
Drug:1962 CCCCC[C@H](C)NC=O
Drug:1963 C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
Drug:1964 CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
Drug:1965 [O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
Drug:1966 N1N=C(C2=NC3=CC=CC=C3N2)C2=C1C=CC=C2
Drug:1967 [H][C@@]1(CC(O)=O)CC[C@]([H])(N1)C(O)=O
Drug:1968 COC1=C(C=C(C=C1)C(=O)O)OC
Drug:1969 CC1=CC(OCC(O)=O)=CC(C)=C1CC1=CC=C(O)C(CC2=CC=CC=C2)=C1
Drug:1970 CC1(C)CN2C(CC(O)=O)=C(C(=C2C1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1
Drug:1971 CCCCC(=O)O
Drug:1972 CN1C(=O)C(O)=C(O)C2=CC=CC=C12
Drug:1973 CC(=O)OCC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1
Drug:1974 C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
Drug:1975 CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
Drug:1976 [H][C@@](CC1=CC=CC=C1)(NC(=O)[C@]([H])(CC(C)C)[C@]([H])(CSC1=CC=CS1)C(=O)NO)C(=O)NC
Drug:1977 [H][C@@]1(C[C@@](N)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O)O[C@H]1C[C@H](O)[C@H](O)CO1
Drug:1978 CN[C@@H]1C[C@@H]2O[C@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
Drug:1979 [H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1
Drug:1980 CCCC(=O)O
Drug:1981 O=C1NC(=O)C(N2CCN(CC2)C2=NC=CC=N2)(C(=O)N1)C1=CC=C(OC2=CC=CC=C2)C=C1
Drug:1982 NC1=C(C=NN1C1=CC=C(F)C=C1)C(=O)C1=CC(OC2CCNCC2)=CC=C1
Drug:1983 CN[C@@]1(CCCCC1=O)C1=CC=CC=C1Cl
Drug:1984 [H][C@@]1(CC[C@]([H])(C2=C(F)C=C(F)C(F)=C2)[C@@]([H])(N)C1)N1CCN2C(C1)=NN=C2C(F)(F)F
Drug:1985 [H][C@]1(C[C@]2(ON1)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)C1=CC2=CC=CC=C2C=C1
Drug:1986 NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](COP(O)(O)=O)O1
Drug:1987 [H][C@](N)(O)CC1=CNC2=CC=CC=C12
Drug:1988 CN1C(=O)NN=C1CN1C=CC(=C(OC2=CC(=CC(Cl)=C2)C#N)C1=O)C(F)(F)F
Drug:1989 CN1C=CC(N)=NC1=O
Drug:1990 CC(C)C[C@@H](C(=O)O)N
Drug:1991 NS(=O)(=O)C1=CC=C(NC(=S)OCCC2=CSC=C2)C=C1
Drug:1992 CN(C)C(=NCCC[C@@H](C(=O)O)N)N
Drug:1993 C1=NC2=NC=NC(=C2N1)N
Drug:1994 COC1=C(OC)C=C(C=C1)C1=NN(C2CCC2)C2=NC=NC(N)=C12
Drug:1995 CC(C)[C@H](N)C(=O)N1CCCC1
Drug:1996 OC[C@H](O)[C@@H](O)[C@H](O)CO
Drug:1997 NC1=C(\N=N\C2=CC=C(O)C=C2)C(N)=NN1
Drug:1998 [H][C@](C)(OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1)C(O)=O
Drug:1999 FC1=CC=C(C=C1)S(=O)(=O)NCC(=O)N=O
Drug:2000 O=C1N(C=C(C=C1C1=CC=CC=C1C#N)C1=NC=CC=C1)C1=CC=CC=C1
Drug:2001 [H]N([H])C(=O)[C@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
Drug:2002 [H][C@@](C)(CC1=CC=CC=C1)N(C)CC=C
Drug:2003 C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC(=C)[C@]2(O)C(=O)CO
Drug:2004 [H][C@]1(COC2=CC=CC=C2)N(CC2=CC=CC=C2)C(=O)N(CC2=CC=CC=C2)[C@]([H])(COC2=CC=CC=C2)[C@]([H])(O)[C@@]1([H])O
Drug:2005 NCCCSC[C@H](N)CO
Drug:2006 [H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3C(C)=C[C@@]21[H]
Drug:2007 CCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)CN(C)C(C)=O)C(C)C)[C@@H](C)CC)[C@@H](C)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC
Drug:2008 C[C@@H]1CC(=O)NN=C1C1=CC=C(NC2=C(CC3=CC(I)=CC=C3)C(=O)CCC2)C=C1
Drug:2009 CCCN1C2=C(NC(=N2)C23C[C@@H]4CC2C[C@H](C3)C4)C(=O)N(CCC)C1=O
Drug:2010 C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC=C4[C@@]3(CC[C@@H](C4)O)C
Drug:2011 [Fe++].NCC([O-])=O.NCC([O-])=O.OS(O)(=O)=O
Drug:2012 CCN(CC)C(C)CN1c2ccccc2Sc2ccccc12
Drug:2013 CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCc3cccc(I)c3)ncnc12
Drug:2014 CC(C)(C)C(=O)NC1=C(N=CC=C1)C(=O)NC1=NC=CS1
Drug:2015 COc1ccc(cc1)N(C(=O)Nc1ccccc1Cl)c1ccnc(N[C@@H](C)C(C)(C)O)n1
Drug:2016 [H][C@]1(COCC2=CC=CC=C2)CNC[C@]1([H])CN(CC(C)C)S(=O)(=O)C1=CC=CC=C1
Drug:2017 COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1)N1CCC(CC1)N1CCN(C)CC1
Drug:2018 C(CC(=O)O)[C@H](C(=O)O)N
Drug:2019 CC(=O)[C@H]([C@@H](COP(=O)(O)O)O)O
Drug:2020 [H]N(CCCCOC1=CC=CC(O)=C1C(=O)OC)C(=O)[C@H](CC1=CC=C(C=C1)N(C(=O)C(O)=O)C1=CC=CC=C1C(O)=O)N([H])C(=O)OCC=C
Drug:2021 N[C@@H](Cn1cc(I)c(=O)[nH]c1=O)C(O)=O
Drug:2022 [H][C@]1(COP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O
Drug:2023 N1C=NC2=CC=CC=C12
Drug:2024 [H][C@@]12OC3=C(OCC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
Drug:2025 OC(=O)CCCCO\N=C(\C1=CN=CC=C1)C1=CC(=CC=C1)C(F)(F)F
Drug:2026 [H][C@]12O[C@]3(CC4=CC=CC=C4)O[C@]1(C[C@@]([H])(C)[C@]1(O3)[C@]3([H])C=C(C)C(=O)[C@@]3(O)CC(COC(=O)CC3=CC(OC)=C(O)C=C3)=C[C@@]21[H])C(C)=C
Drug:2027 FC1(F)CCN(C1)C(=O)[C@@H]1C[C@@H](CN1)N1CCN(CC1)c1ncccn1
Drug:2028 CCC(C)(OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(OC(C)(CC)C(O)=O)C=C1)C(O)=O
Drug:2029 [H][C@@](C(=O)NC1=CC=C2C=CC=CC2=C1)(C1=CSC2=C1C=C(Cl)C=C2)P(O)(O)=O
Drug:2030 [H][C@@](C)(N(C)C)C1=CC(O)=CC=C1
Drug:2031 CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
Drug:2032 CCCCN
Drug:2033 CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1
Drug:2034 CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
Drug:2035 C[C@]12CC[C@H]3[C@@H]([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)[C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1
Drug:2036 OC(=O)C1=CON=C1O
Drug:2037 C1=CC=C2C(=C1)C(=CN2)CC(=O)N
Drug:2038 OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
Drug:2039 CNC(C)CCC=C(C)C
Drug:2040 OC1=CC(O)=C2C(=O)\C(OC2=C1)=C\C1=C(O)C(Br)=C(O)C(Br)=C1
Drug:2041 C[N+](C)(C)C1=CC=C(CNC(=O)C2=CC3=C(C=CC(OCC4=CC=CC=C4)=C3)N2CC2=CC=CC(=C2)C(N)=N)C=C1
Drug:2042 [H][C@]1(NC2=CC(Cl)=C(C=C2S(=O)(=O)N1)S(N)(=O)=O)C(Cl)Cl
Drug:2043 C1C[C@H](N(C1)CCCC(=O)O)COC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl.Cl
Drug:2044 CCCCCCCCCCCCCCCCCCOP([O-])(=O)OC1CC[N+](C)(C)CC1
Drug:2045 C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2
Drug:2046 [H][C@]1(CSC(=O)N1)[C@@]1(O)C[C@@]2([H])C[C@@]([H])(CC[C@]([H])(C)\C=C/CC\C(C)=C/C(=O)O2)O1
Drug:2047 Nc1ncnc2n(cc(I)c12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Drug:2048 OC(=O)C(=O)NC1=C(C(O)=O)C2=C(COCC2)S1
Drug:2049 [H]\C(CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C
Drug:2050 C[C@](O)(c1ccc(cc1)C(=O)N(C1CC1)C1CCN(CC2(CC2)C(N)=O)CC1)C(F)(F)F
Drug:2051 C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
Drug:2052 OCC1=CC=CC(F)=C1F
Drug:2053 CCOP(=O)(OCC)C(=CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)P(=O)(OCC)OCC
Drug:2054 [H][C@](CC1=CC=C(O)C=C1)(N1C(=O)C2=C(C=C(C=C2)C(O)=O)C1=O)C(O)=O
Drug:2055 [H][C@@](C)(N)C(=O)CCCCCC(O)=O
Drug:2056 C(=N)(N)S
Drug:2057 O=C1N([Se]C2=CC=CC=C12)C1=CC=CC=C1
Drug:2058 NC1=NC(CC2=C3C=CNC3=CC=C2Cl)=NC(NC2=CC=C(C=C2)C#N)=N1
Drug:2059 O[P@@](=O)(OCC1CCCCC1)OC1=C(C=O)C=CC=C1
Drug:2060 FC(F)(F)C1=CC=C(C=C1)C(=O)NN1C(=O)[C@H]2[C@H]([C@H]3C=C[C@@H]2[C@@H]2C[C@H]32)C1=O
Drug:2061 CCCN1C2=C(NC(=N2)C23CCC(CCC(O)=O)(CC2)CC3)C(=O)N(CCC)C1=O
Drug:2062 [H][C@@](CCC(O)=O)(NCC1=C(COP(O)(O)=O)C=[NH+]C(C)=C1O)C(O)=O
Drug:2063 FC1=CC=C(C=C1)N1C=CC=C(C(=O)NC2=CC=C(OC3=CC=NC4=C3C=CN4)C(F)=C2)C1=O
Drug:2064 C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[K+]
Drug:2065 OB(O)CCC1=CC=CC=C1
Drug:2066 OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1
Drug:2067 CC(=O)CSCCS(O)(=O)=O
Drug:2068 [H]N([C@H](CO)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O)C(C)=O
Drug:2069 CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Drug:2070 [H][C@](N)(CSCC1=CC=C(Br)C=C1)C(O)=O
Drug:2071 CCCCS(=O)(=O)CCC(O)=O
Drug:2072 [H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(S[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]4([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]5([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]6([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]6([H])O)[C@]([H])(O)[C@@]5([H])O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
Drug:2073 [H][C@]1(CCC2=CC=C(O)C=C12)NCC#C
Drug:2074 [H][C@@]1(C)CCN(CCN1C(=O)C1=C(C=CC(C)=C1)N1N=CC=N1)C1=NC2=C(O1)C=CC(Cl)=C2
Drug:2075 CC(C)(C)N1N=C(CC2=CC(O)=CC=C2)C2=C1N=CN=C2N
Drug:2076 CC1=C(CCN2CCC(CC2)=C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(=O)N2C=CSC2=N1
Drug:2077 OC1=CC2=C(OC(=N2)C2=CC=C(O)C(F)=C2)C(C=C)=C1
Drug:2078 CC(C)N1C(=O)C(=CC2=CC=CC=C12)C(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@@H](O)CN(C)S(C)(=O)=O
Drug:2079 CC(C)\N=C(/N)NO
Drug:2080 [H][C@]1(N)CC[C@@]([H])(CC1)NC1=NC2=C(C=NN2C(NC(C)C)=C1)C#N
Drug:2081 CC(C)C[C@H](NC(=O)C1=CC2=C(O1)C=CC=C2)C(=O)N[C@H]1CCCN(CC1=O)S(=O)(=O)C1=CC=CC=N1
Drug:2082 [H][C@](C)(C#CC1=C(C)N=C(N)N=C1N)C1=CC(OC)=CC(=C1)C1=CC=CC=C1
Drug:2083 [H][C@]12CC=C(C)[C@]([H])(C1)[C@@]([H])(OC2(C)C)C1=CC=C(O)C=C1
Drug:2084 CO[C@](NC(=O)[C@H](C(O)=O)C1=CC=C(O)C=C1)([C@H]1OCC(=C)C(=N1)C(O)=O)C(O)=O
Drug:2085 COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1
Drug:2086 [H][C@@]12CC[C@](OC(C)=O)(C(=O)COC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H]
Drug:2087 CCCCOC1=CC=C(C=C1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(C)(=O)=O
Drug:2088 OCCOCCOCCO
Drug:2089 O[C@@H]1CO[C@H](SC[C@H]2O[C@@H](OC3=CC=C(C=C3)[N+]([O-])=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
Drug:2090 NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1
Drug:2091 OC[C@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
Drug:2092 [H][C@]1(NC(=O)CNC(=O)C2=C(COC)SC(=N2)[C@@H](NC(=O)C2=C(C)SC(=N2)[C@H](CC(=O)NC)NC(=O)C2=CSC(=N2)C2=CC=C(N=C2C2=CSC(=N2)C2=CSC1=N2)C1=NC(=CS1)C1=N[C@@H](CO1)C(=O)N1CCC[C@H]1C(N)=O)C(C)C)[C@@H](O)C1=CC=CC=C1
Drug:2093 [H][C@@]12CO[P@@](O)(=S)O[C@@]1([H])[C@@]([H])(O)[C@@]([H])(O2)N1C=NC2=C(N)N=CN=C12
Drug:2094 COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2
Drug:2095 COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
Drug:2096 [H][C@](C)(C#CC1=C(C)N=C(N)N=C1N)C1=CC(OC)=CC(=C1)C1=CC=C(C)C=C1
Drug:2097 CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
Drug:2098 NC(=O)N(C1=CC=C(C(N)=O)C(=N1)C1=CC=C(F)C=C1F)C1=C(F)C=CC=C1F
Drug:2099 [H]N([H])C1=NC(=O)N(C=C1)[C@H]1C[C@H](OP(O)(=O)OC[C@H]2O[C@H](C[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](CO)O1
Drug:2100 CC1=NC2=C(C3=C(C=CC(=C3)CNC4=CC5=C(C=C4)C(=O)N(C5)[C@@H](CCC(=O)O)C(=O)O)C=C2)C(=O)N1
Drug:2101 [H][C@]1(O)O[C@]([H])(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]1([H])O
Drug:2102 C[C@H](N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1
Drug:2103 C1=C(NC=N1)CC(=O)O
Drug:2104 [H][C@](CC(O)=O)(NC(=O)C1=CC(=CS1)C1=CC=C(C=C1)C1=CC=NC=C1)C1=CC=CC=C1
Drug:2105 CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1
Drug:2106 C(CC(=O)O)[C@@H](C(=O)O)N
Drug:2107 [H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])F)[C@]([H])(O)[C@@]1([H])O
Drug:2108 N#CC1=NC2=C(N=CN2C2CCCC2)C(NC2=CC=CC=C2OCCCN2C=CN=C2)=N1
Drug:2109 OCCCCN1C=NC2=C1N=C(NC1=CC=CC=C1)NC2=O
Drug:2110 [Ga+3].C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CN2CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=CC=CC=C23)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O
Drug:2111 [H][C@@]12CC(F)(F)C[C@]1([H])[C@@]([H])(OC1=C2C=C(O)C=C1COC)C1=CC=C(O)C=C1
Drug:2112 O[C@H]([C@@H](O)[C@@H](OCC1=C(F)C=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12)[C@@H](OCC1=CC=CC=C1F)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2
Drug:2113 COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC=C2N=CC(=NC2=C1)C1=CN(C)N=C1
Drug:2114 CC1=CN([C@H]2CC[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
Drug:2115 [H][C@@](CC1=CC=CC(=C1)C(O)=O)(NC(C)=O)B(O)O
Drug:2116 C1=CC=C(C=C1)N
Drug:2117 CCOC(=O)[C@@H](N)CC1=CC=C(C=C1)C1=NC(N)=NC(O[C@H](C2=CC=C(Cl)C=C2N2C=CC(C)=N2)C(F)(F)F)=C1
Drug:2118 CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C1=CC=CC=C1
Drug:2119 [H][C@](CC1=CC=CC=C1)(NC(=O)CCCC(O)=O)[P@](O)(=O)OCC(=O)NCCC1=CC=CC=C1
Drug:2120 CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1
Drug:2121 OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
Drug:2122 [H][C@]1(CSC)O[C@@]([H])(N2C=CC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:2123 [H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)COC(=O)C(C)C
Drug:2124 COC1=CC=C(C=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
Drug:2125 C1=CC(=C(C(=C1)O)O)C(=O)O
Drug:2126 COC1=C(O)C(\C=N\C2=CC=C(C)C=C2)=CC=C1
Drug:2127 CCC(COC(=O)C1=CC(OC)=C(OC)C(OC)=C1)(N(C)C)C1=CC=CC=C1
Drug:2128 NOC(=O)NC1=CC=CC=C1
Drug:2129 CC1=C(C=CO1)C(=S)NC1=CC(\C=N\OC(C)(C)C)=C(Cl)C=C1
Drug:2130 CCS(O)(=O)=O
Drug:2131 CS(=O)(=O)C1=C2[C@@H]([C@@H]([C@@H](C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O
Drug:2132 N[C@@H](CC1=CC(F)=C(O)C=C1)C(O)=O
Drug:2133 [C@@H]([C@H](C(=O)O)O)(C(=O)O)O
Drug:2134 C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(N)(=O)=O)ccc34)[C@@H]1CC(=O)N(Cc1cccnc1)C2=O
Drug:2135 NC(=N)C1=CC=C(N\N=N\C2=CC=C(C=C2)C(N)=N)C=C1
Drug:2136 [H][C@]1(CC2=CC=C(Cl)C(Cl)=C2)SC(=S)N(NS(=O)(=O)C2=CC=CS2)C1=O
Drug:2137 [Cl-].CCNC1=CC2=[O+]C3=C(C=C(C)C(NCC)=C3)C(C3=CC=CC=C3C(=O)OCC)=C2C=C1C
Drug:2138 [H][C@@]1(O)O[C@]([H])(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C3N=CN3C=CN=C43)[C@]([H])(OP(O)(O)=O)[C@]2([H])O)[C@@]([H])(O)[C@@]1([H])O
Drug:2139 [H][C@]1(C)C[C@]([H])(NC)C2=C(SC(=C2)S(N)(=O)=O)S1(=O)=O
Drug:2140 CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
Drug:2141 [H][C@]1(CC2=NC(N)=CC(C)=C2)CNC[C@@]1([H])NCCNCC1=CC=C(Cl)C=C1
Drug:2142 N[C@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1
Drug:2143 C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O
Drug:2144 CCOC(=O)C1=CSC(=N1)N1CCN(CC1)C1=NC2=CC=CC=C2SC1
Drug:2145 CN(CC=C)C\C=C\COC1=CC2=C(C=C1)C(=CO2)C1=CC=C(Br)C=C1
Drug:2146 [H][C@@]1(N)CCCN(C1)C1=NC2=C(C=CC=C2)C(=O)N1CC1=C(C=CC=C1)C#N
Drug:2147 CC[C@H](CO)NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
Drug:2148 [H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CS(O)(=O)=O)C(=O)N([H])CC(O)=O)C(O)=O
Drug:2149 NC(=N)C1=CC2=C(C=C1)N=C(N2)C(=O)C1=NC2=C(N1)C=CC(=C2)C(N)=N
Drug:2150 COC1=C(C=CC=C1)C1=CC=C(O1)C(O)=O
Drug:2151 NC(=[NH2+])C1=CC=C(COB2OCCO2)C=C1
Drug:2152 NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
Drug:2153 C1CC1NC1=NC(=CC=N1)C1=C2C=CC=NN2N=C1
Drug:2154 ONC(=O)C1(CCOCC1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C(F)(F)F)C=C1
Drug:2155 CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O
Drug:2156 NC1=NC2=NN(N=C2C(O)=N1)C1=CC(=CC=C1)C(O)=O
Drug:2157 CCCCCCCC[S@@](=O)CCO
Drug:2158 CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
Drug:2159 N[C@@H](C(=O)N[C@@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
Drug:2160 [H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C
Drug:2161 OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
Drug:2162 CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O
Drug:2163 CC1(C)\C(=C\C=C\C=C\C=C\C2=[N+](CCCCS(O)(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS(O)(=O)=O)C2=C1C1=CC=CC=C1C=C2
Drug:2164 CCOC1=C(NC(=O)C2=CC(C)=C(OCCN)C(C)=C2)C=C(C=C1Cl)N1CCCCC1
Drug:2165 CN(NC(=O)OC(C)(C)C)C#N
Drug:2166 COC1=C(C=CC(=C1)/C=C/C(=O)N2CCCCC2)O
Drug:2167 OCCSSCCO
Drug:2168 CN(CC=C)CC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(Br)C=C1
Drug:2169 CC1=CC2=C(C=C1)N=CN2
Drug:2170 CC1=NC=C(C(=C1O)C=O)CO
Drug:2171 COc1ccc(OC)c(c1)C(O)C(C)N
Drug:2172 FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1
