Drug:0 CC1=CN=C2N1C=CN=C2NCC1=CC=NC=C1
Drug:1157 CCOC(=O)N1CCC(CC1)NC1=NC=CC(C)=C1
Drug:1158 [H][C@@](CCSC)(NC=O)C(O)=O
Drug:1159 CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1
Drug:1160 CCNC(=O)N1CCC(CC1)NC1=NC(C2=CNC3=CC=CC=C23)=C(Cl)C=N1
Drug:1161 CCCC1=CC(=O)OC2=C1C1=C(C=CC(C)(C)O1)C1=C2[C@@H](O)[C@H](C)[C@@H](C)O1
Drug:1162 NC1=NC(N)=C(N=O)C(OCC2CCCCC2)=N1
Drug:1163 [H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(OCCCCCCCCCCCC)O[C@]2([H])CO)[C@]1([H])O
Drug:1164 [H][C@@]1(CCNC(=O)C2=COC=C2)NC2=C(F)C=CC(F)=C2C(N)=N1
Drug:1165 CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
Drug:1166 [H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1
Drug:1167 CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
Drug:1168 [H][C@@](C)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)[C@@]([H])(S)CCCCC)C(O)=O
Drug:1169 [Ga+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O
Drug:1170 [H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC
Drug:1171 CS(C)=O
Drug:1172 OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=C2C=CC=C3)=C1
Drug:1173 OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2
Drug:1174 [H][C@](CC([O-])=O)(C(O)=O)C1=CC(C2=NC3=C(N2)C=C(C=C3)C(N)=N)=C([O-])C(Br)=C1
Drug:1175 NC(=[NH2+])C1=CC2=C(S1)C=CC=C2I
Drug:1176 CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
Drug:1177 [H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=CN=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:1178 ClC1=C(SC=C1N1CC(=O)NS1(=O)=O)C1=CC=CC=C1
Drug:1179 CC1=CC(=CC2=C1N=C(N2)C1=C(NCC2=NC=CC=C2)C=CNC1=O)N1C=CN=C1
Drug:1180 CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
Drug:1181 OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1
Drug:1182 O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
Drug:1183 NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O
Drug:1184 [H]C(=C([H])C([H])(C)C([H])(OC(C)=O)[C@]([H])(C)C(=O)CC[C@]([H])(C)[C@]([H])(C[C@]1([H])OC(=O)C[C@@]([H])(O)CCCC(=O)C[C@]([H])(C)C2=COC(=N2)C2=COC(=N2)C2=COC(=N2)\C([H])=C([H])\C[C@]([H])(OC)[C@@]1([H])C)OC)N(C)CO
Drug:1185 CCC1C2=CC(OC)=C(OC)C=C2C(=NN=C1C)C1=CC(OC)=C(OC)C=C1
Drug:1186 FC(F)(F)C1=CC(NC(=O)NC2=CC=C(OC3=CC=NC=C3)C=C2)=CC=C1
Drug:1187 CC1=CC(OCC(O)=O)=CC(C)=C1CC1=CC=C(O)C(CC2=CC=CC=C2)=C1
Drug:1188 [H][C@]12COC(=O)[C@]1([H])[C@]([H])(C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@]2([H])O[C@]1([H])O[C@]2([H])CO[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]1([H])O)C1=CC=CS1
Drug:1189 [H][C@@]1(C)CNC2=C(SC3=C2C2=C(C=C3)N=C(C=C2)C2=CN=C(C)C=C2)C(=O)N1
Drug:1190 [H][C@@](C)(CCCC(C)C)CCC[C@@]([H])(C)C[C@@]([H])(O)P(O)(O)=O
Drug:1191 [H][C@@](O)(CO)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1
Drug:1192 C[C@](O)(COC1=C(F)C(F)=C(F)C(F)=C1F)C(=O)NC1=CC=C(C(=C1)C(F)(F)F)[N+]([O-])=O
Drug:1193 NC(=O)C1=CC=CC2=NC=C(N=C12)C1=CC=C(Cl)C=C1
Drug:1194 CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
Drug:1195 [H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1
Drug:1196 NCCCCCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2Cl
Drug:1197 [H][C@@](C[P@](O)(=O)[C@@]([H])(NS(=O)(=O)C1=CC=CC=C1)C(C)C)(C(O)=O)C1=CC(CN)=CC=C1
Drug:1198 CC1(C)CCC(C)(C)C2=C1C=CC(=C2)[C@H](O)C(=O)NC1=C(F)C=C(C=C1)C(O)=O
Drug:1199 [H]N(C)C(=O)C1=C(C)N([H])C(\C=C2/C(=O)N([H])C3=C2C=C(Cl)C=C3)=C1C
Drug:1200 [H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(=O)C(F)(F)F
Drug:1201 CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
Drug:1202 NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC=C(F)C=C1
Drug:1203 ClC1=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=CS1
Drug:1204 [H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2
Drug:1205 CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1
Drug:1206 CNC1=NC(NC2=CC=C(CC#N)C=C2)=NC(NC2=NNC(=C2)C2CC2)=C1
Drug:1207 C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1
Drug:1208 [H][C@]1(OC2=C(S[C@]1([H])C1=CC=C(O)C=C1)C=C(O)C=C2)C1=CC=C(OCCN2CCCCC2)C=C1
Drug:1209 CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=NC=NC(OC2=CC=CC=C2C#N)=C1
Drug:1210 CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O
Drug:1211 CCCC1=C2ON=C(C2=CC=C1OCCCOC1=CC2=C(C=C1)N(CC(O)=O)C=C2)C(F)(F)F
Drug:1212 N[C@](CS(=O)(=O)C1=CC=C(OC2=CC=CC=C2)C=C1)(C(=O)NO)C(F)(F)F
Drug:1213 CC(CN1C2=CC=CC=C2SC2=C1N=CC=C2)N(C)C
Drug:1214 CCCCCC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N(CCN1CCOCC1)[C@H](C(C)C)C(=O)NO
Drug:1215 COC1=CC=NC(NC2CCN(CC2)C(=O)C2=CC=C(C=C2)C#N)=C1
Drug:1216 CC(C)[C@H](N)C(O)=O
Drug:1217 CC1=CC=C(C=C1C1=CC=C(C=C1)C(=O)NCC1CC1)C(=O)NC1CC1
Drug:1218 CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O
Drug:1219 CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
Drug:1220 [H][C@@](N)(CC1=CC=CC=C1)C(O)=N[C@@]1([H])CSSC[C@]([H])(N=C(O)[C@@]([H])(N=C(O)[C@]([H])(CCCCN)N=C(O)[C@@]([H])(CC2=CNC3=CC=CC=C23)N=C(O)[C@]([H])(CC2=CC=C(O)C=C2)N=C1O)C(C)C)C(O)=N[C@@]([H])(CC1=CNC2=CC=CC=C12)C(O)=N
Drug:1221 COC1=CC=C2C(NC3=C2C=CN=C3C)=C1
Drug:1222 [H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)[C@]12C[C@@]3([H])C[C@]([H])(C[C@](O)(C3)C1)C2
Drug:1223 CC1(C)CC2=C(C(=NN2C2=CC(N[C@H]3CC[C@@H](CC3)OC(=O)CN)=C(C=C2)C(N)=O)C(F)(F)F)C(=O)C1
Drug:1224 O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5
Drug:1225 [H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
Drug:1226 [H][C@@](C)(N1CC[C@]([H])(NS(=O)(=O)C2=CC3=C(S2)C=C(Cl)C=C3)C1=O)C(=O)N1CCOCC1
Drug:1227 [H][C@@]1(CC[C@](CC1)(C#N)C1=CC(OC2CCCC2)=C(OC)C=C1)C(O)=O
Drug:1228 [H][C@]1(O)O[C@]([H])(COS(O)(=O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])NS(O)(=O)=O
Drug:1229 [H][C@]1(CO)O[C@@]([H])(N2CNC3=C2N=CN=C3O)[C@]([H])(O)[C@]1([H])O
Drug:1230 CCNC(=O)C1=NOC(=C1C1=CC=C(OC)C=C1)C1=C(O)C=C(O)C(Cl)=C1
Drug:1231 [H]C([H])([H])[S@](=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H]
Drug:1232 [H][C@](CCC1=CC=C(C=C1)C(N)=N)(CC(=O)OC)C1=CC=CC(=C1)C(N)=N
Drug:1233 CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(N)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(=O)[C@@H]2CC(=O)NC(=O)N2)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
Drug:1234 CCC1=C2N=C(C=C(NCC3=CN=C(N)N=C3)N2N=C1)C1=C(F)C=CC=C1F
Drug:1235 CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
Drug:1236 OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
Drug:1237 CSCC[C@H](N)C(O)=O
Drug:1238 NC(=N)C1=CC2=C(C=C1)N=C(N2)C(=O)C1=NC2=C(N1)C=CC(=C2)C([NH3+])=[NH2+]
Drug:1239 [H][C@]1(N)CCCC[C@@]1([H])NC1=NC(NC2=CC=CC(C)=C2)=C(C=N1)C(N)=O
Drug:1240 NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1
Drug:1241 CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)C1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H]2NC(C)=O)[C@H](O)[C@H]1O)C(O)=O
Drug:1242 CSC1=NC2=C(N1)C(Br)=C(Br)C(Br)=C2Br
Drug:1243 CC1=C(Br)C(=O)OC2=C(Br)C(O)=CC=C12
Drug:1244 CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
Drug:1245 CS(=O)(=O)C1=CC=C(NC2=CC(Cl)=NC3=CC=NN23)C=C1
Drug:1246 [H][C@@](N)(CC(C)C)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC(Cl)=CC=C1
Drug:1247 [H][C@]1(CCC2=C1C=CC=C2O)\N=C\C=C
Drug:1248 CCC(CC)(CC(=O)NC1=CC(\C=C\C2=NC(=CS2)C2CCC2)=CC=C1)C(O)=O
Drug:1249 OC1=C(O)C2=C(C=C1)C(=O)C1=C(O)C=CC(O)=C1C2=O
Drug:1250 CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
Drug:1251 [H][C@@](CO)(NC1=NC2=C(N=CN2C(C)C)C(NC2=CC=C(C(O)=O)C(Cl)=C2)=N1)C(C)C
Drug:1252 [H][C@]1(CO)O[C@@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@@]([H])(O[C@]3([H])[C@@]([H])(CO)O[C@]([H])(OC4=CC5=C(C=C4)C(C)=CC(=O)O5)[C@]([H])(N=C(C)O)[C@@]3([H])O)[C@]([H])(N=C(C)O)[C@@]2([H])O)[C@]([H])(N=C(C)O)[C@@]([H])(O)[C@]1([H])O
Drug:1253 NC(=O)C1=CC=C(NC2=NC(OCC3CCCCC3)=C(N=O)C(N)=N2)C=C1
Drug:1254 [H][C@@]12C[C@]1([H])[C@@]1(C)C(=CC2=O)C(Cl)=C[C@@]2([H])[C@]3([H])CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@]12[H]
Drug:1255 [H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Drug:1256 CN(C)CCCN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2
Drug:1257 C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O
Drug:1258 [H][C@](N)(CC(=O)N1CC2=CC=CC=C2C[C@@]1([H])C(N)=O)CC1=CC=CC=C1F
Drug:1259 CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O[P@](O)(=O)O[P@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
Drug:1260 CCOC1=C(OCC)C=C(C=C1)C1=NC(=CS1)C1=NC(=CC=C1)C(O)=O
Drug:1261 CC[Se]C(N)=N
Drug:1262 C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
Drug:1263 CC1=CC(CC2=NN(C3=C2C(N)=NC=N3)C(C)(C)C)=CC=C1
Drug:1264 CCN1C(=O)C2=C(NN=C2C)C2=C1C=CC=C2
Drug:1265 O[C@H]1[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1OP(O)(O)=O
Drug:1266 [H][C@@](CC(O)=O)(NC(=O)[C@@]([H])(CCCCNC(=O)C1=NC2=C(C=CC=C2O)C=C1)C1=CC=CS1)C=O
Drug:1267 COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
Drug:1268 [H][C@@](CCCNC(N)=N)(NC(=O)C1CCCC1)C(=O)C1=NC2=C(S1)C=CC=C2
Drug:1269 C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12
Drug:1270 OC(=O)CSCC(=O)NC1CCSC1=O
Drug:1271 [H]/C1=C([H])\C(=O)CC2=C(C(O)=CC(O)=C2Cl)C(=O)O[C@]([H])(C)C[C@@]2([H])O[C@]2([H])/C([H])=C\1/[H]
Drug:1272 ClC1=CC(=CC=C1)C1=CNN=C1C1=CNC(=C1)C(=O)NCC1=CC=CC=C1
Drug:1273 OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
Drug:1274 CC1=C(CSCC2=CC(=CC=C2)C(O)(O)C(F)(F)F)C(N)=C2C(F)=CC=CC2=N1
Drug:1275 [H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
Drug:1276 CSC1=CC(\N=C(/N)N(C)C2=CC(SC)=CC=C2)=C(Cl)C=C1
Drug:1277 CC(C)N1CCC(CC1)NC(=O)C1=CC2=C(C=CC=C2)N1CC(=O)NC1=CC=C(Cl)C=C1
Drug:1278 [H][C@](CC(O)=O)(CC1=CC=CC=C1)C(O)=O
Drug:1279 CC1=CC=C(C=C1F)C1=NC(=CC=C1)C(=O)N1CCCC(C)(C)C1
Drug:1280 O[C@H](COP(O)(O)=O)[C@@H](O)C=O
Drug:1281 BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1
Drug:1282 CN1CCCCC1CCN1C2=C(SC3=C1C=C(C=C3)S(C)=O)C=CC=C2
Drug:1283 CCC(=O)C1(CCN(C)CC1)C1=CC(O)=CC=C1
Drug:1284 CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1
Drug:1285 [H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
Drug:1286 OC(=O)C1=C(\C=C\C(=O)NC2=CC=CC=C2)C2=C(Cl)C=C(Cl)C=C2N1
Drug:1287 OC(=O)C1=CC=CC(O)=C1O
Drug:1288 NCCCC[C@H](N)C(O)=O
Drug:1289 N[C@@H](CC1=CC=CC(O)=C1)C(O)=O
Drug:1290 [H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
Drug:1291 CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
Drug:1292 [H][C@@]1(F)C(F)=CC=C(C(=O)NOCCO)\C1=N\C1=C(F)C=C(I)C=C1
Drug:1293 [H][C@@]12CCC3=CC(C(C)C)=C(C=C3[C@@]1(C)CCC[C@@]2(C)C(O)=O)S(O)(=O)=O
Drug:1294 [H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
Drug:1295 OC(=O)C(=O)NC1=C(C=C(I)C=C1)C(O)=O
Drug:1296 CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1
Drug:1297 NC(=[NH2+])C1=CC2=C(S1)C=CC=C2
Drug:1298 NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=C(F)C=C1
Drug:1299 O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Drug:1300 [H][C@]12CN(C)CCN1C1=C(CC3=CC=CC=C23)C=CC=N1
Drug:1301 [H][C@@](CC1=CC=CC=C1)(NS(N)(=O)=O)C(O)=O
Drug:1302 [H][C@]1(C)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:1303 NC1=NN=C2C(CCC3=CC=CC=C23)=C1
Drug:1304 OC(=O)CNS(=O)(=O)C1=CC=C(C=C1)N1CCC(CC1)C1=CC=CC=C1
Drug:1305 ClC1=CC=C(C=C1)C1(CCNCC1)C1=CC=C(C=C1)C1=CNN=C1
Drug:1306 [H][C@](N)(CC1=CC=C(O)C=C1)C(N)=O
Drug:1307 C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O
Drug:1308 [NH3+]C1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=N1
Drug:1309 [H][C@@](CCCCCCNC(=O)OC(C)(C)C)(C(O)=O)C1=CNC2=C1C=CC=C2
Drug:1310 CC1=NC(C(=O)NCC(O)=O)=C(O)C2=CC=C(OC3=CC=CC=C3)C=C12
Drug:1311 [H]N(CC)C(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1
Drug:1312 COC1=CC=C(CC(C)N)C=C1
Drug:1313 CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1
Drug:1314 [H][C@]1(O)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCC)[C@]1([H])O
Drug:1315 NCCC[C@H](N)C(O)=O
Drug:1316 CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CS[C@@H](CN(CC(O)=O)C1=O)C1=CC=CS1
Drug:1317 [H][C@](CC1=CC=CC=C1)(NC)C(=O)N1CCC[C@@]1([H])C(O)=NC[C@@]1([H])CC[C@]([H])(N)CC1
Drug:1318 CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1
Drug:1319 [H][C@@]12CCC(=O)[C@@]1(C)C[C@@H](OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@H](COC)[C@]13C
Drug:1320 CC(C)OC1=C(NC2=NC=C(Cl)C(N2)=NC2=CC=CC=C2S(=O)(=O)C(C)C)C=C(C)C(=C1)C1CCNCC1
Drug:1321 [H][C@@]12CC[C@](OC(=O)C(Cl)Cl)(C(=O)OCC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Drug:1322 CCC1(C)OC(=O)N(C)C1=O
Drug:1323 CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
Drug:1324 CCCOC1=CC=C(C=C1)C1=CSC(=C1CC(=O)NC(N)=N)C1=CC=CC=C1Cl
Drug:1325 [H][C@](CC(=O)NO)(CC1=CC(O)=CC=C1)C(=O)N[C@@]1([H])C2=C(C[C@@]1([H])O)C=CC=C2
Drug:1326 CC1=NC(C)=C(S1)C1=CC=NC(NC2=CC=C(C=C2)C(F)(F)F)=N1
Drug:1327 [O-][N+](=O)C1=CC2=C(NC3=C2CC(=O)NC2=C3C=CC=C2)C=C1
Drug:1328 [H][C@@](N)(C(=O)N1CC[C@]([H])(F)C1)[C@]([H])(CC1CC1)C1([H])N[C@]([H])(NO1)C1=C(F)C=C(C=C1)S(C)(=O)=O
Drug:1329 CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1
Drug:1330 ClC1=CC=C(CNC2=NC3=C(C=NN3C(NC3=CC=CC=C3)=N2)C#N)C=C1
Drug:1331 CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12
Drug:1332 OC1=CC(=CC(=C1O)[N+]([O-])=O)C(=O)CCN1CCN(CC1)C1=CC(=CC=C1)C(F)(F)F
Drug:1333 NC(N)=NC1=NC(=CS1)C1=CC=C(CNC2=NC3=C(N2)C=CC=C3)S1
Drug:1334 CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F
Drug:1335 [H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CN=CC(Br)=C1)CN2C)OC
Drug:1336 CC(C)C1=CC=C(COC2=C(Cl)C=C(CC(=O)NCCN)C=C2)C=C1
Drug:1337 C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl
Drug:1338 OC(=O)CCCCCCCC(O)=O
Drug:1339 COC1=CC=C(C=C1)S(=O)(=O)N1C=C(CCC(O)=O)C2=CC(OC)=CC=C12
Drug:1340 [H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1
Drug:1341 CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Drug:1342 CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl
Drug:1343 [H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC(C)=CC=C1
Drug:1344 OC1=CC=C(C2=C1C(=O)C1=C(O)C=CC=C1O2)[N+]([O-])=O
Drug:1345 OS(=O)(=O)CCCSC1=NC2=C(S1)C=CC=C2
Drug:1346 CCCCCNC(=N)N\N=C\C1=CNC2=C1C=C(OC)C=C2
Drug:1347 CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C
Drug:1348 [H][C@](C)(O[P@]([H])(C)=O)C(C)(C)C
Drug:1349 CC(=O)OC[C@H](N)C(O)=O
Drug:1350 FC(F)(F)C(=O)CC(=O)C1=CC=CS1
Drug:1351 CC(C)NCC(O)COC1=CC=CC=C1CC=C
Drug:1352 CCN(CC)C(=O)N1CCN(C)CC1
Drug:1353 [H][C@]1(O)C[C@@]([H])(CO)O[C@]([H])(O)[C@]1([H])O
Drug:1354 CN(C)C(=O)C1=CC(=CN1)C1=NNC=C1C1=CC=CC=C1
Drug:1355 [H][C@@](N)(COC1=CN=CC(=C1)C1=NCC2=NN=CC2=C1)CC1=C2C=CCC=C2N=C1
Drug:1356 [H][C@]1(COC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C2=CSC=C2)CCCN1
Drug:1357 C1C2=C(C=CC=C2)C2=NNC(=C12)C1=CC=NC=C1
Drug:1358 N[C@@H](COP(O)(O)=O)C(O)=O
Drug:1359 [H][C@@]1(CC2=CC=C(C=C2)C(N)=N)CCCC[C@@]([H])(CC2=CC=C(C=C2)C(N)=N)C1=O
Drug:1360 CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O
Drug:1361 [H][C@]1(COP(O)(=O)OP(O)(=O)CP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:1362 CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Drug:1363 CC(C)=CCC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O
Drug:1364 [H][C@]12CC[C@]([H])(C[C@]([H])(C1)SCC(=O)O[C@]1([H])C[C@@](C)(C=C)[C@@]([H])(O)[C@]([H])(C)[C@]34CCC(=O)[C@@]3([H])[C@@]1(C)[C@]([H])(C)CC4)N2C
Drug:1365 CNS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=C1/SC(=N)NC1=O
